RUN	computerdatabase.advanced.AdvancedSimulationStep01	advancedsimulationstep01	1632162458945	 	3.6.1
USER	Scenario Name	START	1632162461268
REQUEST		Home	1632162461284	1632162464358	OK	 
REQUEST		Home Redirect 1	1632162464363	1632162464450	OK	 
REQUEST		Search	1632162465463	1632162465547	OK	 
REQUEST		Select	1632162466552	1632162466649	OK	 
REQUEST		Home	1632162467656	1632162467749	OK	 
REQUEST		Home Redirect 1	1632162467750	1632162467835	OK	 
REQUEST		Page 1	1632162469839	1632162469931	OK	 
REQUEST		Page 2	1632162470603	1632162470691	OK	 
REQUEST		Page 3	1632162471323	1632162471411	OK	 
REQUEST		Page 4	1632162472147	1632162472236	OK	 
REQUEST		Form	1632162477240	1632162477331	OK	 
REQUEST		Post	1632162478339	1632162478424	OK	 
REQUEST		Post Redirect 1	1632162478431	1632162478512	OK	 
USER	Scenario Name	END	1632162478515
